es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Pastel,Cake,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1672.2,kJ,7.38,g,NaN,mg
Caramelo,Candy,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1621.8,kJ,0,mg,NaN,g
Chicle sin azúcar,Chewing gum,,Azúcar chocolate y derivados,Sugar chocolate and related products,,11.1,kJ,0.042,g,0,mg
Bombón,Chocolate,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1988,kJ,12.3,g,28,mg
Barra chocolate tipo "bounty",Chocolate bar type "bounty",,Azúcar chocolate y derivados,Sugar chocolate and related products,,2048.4,kJ,16.5,g,3,mg
Barra de chocolate tipo "Kit-kat",Chocolate bar type "kit kat",,Azúcar chocolate y derivados,Sugar chocolate and related products,,2087.15,kJ,11.6,g,17,mg
Barra de chocolate tipo "Mars",Chocolate bar type "mars",,Azúcar chocolate y derivados,Sugar chocolate and related products,,1899.38,kJ,10,g,20,mg
Chocolate negro con azúcar,Chocolate bitter with sugar,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2215,kJ,16.8,g,0,mg
Crema de chocolate con avellanas,Chocolate paste with hazelnuts,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2265.14,kJ,10.1154,g,6,mg
Chocolate con nueces de macadamia,Chocolate with macadamian nuts,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2458,kJ,20.6,g,15.6,mg
Chocolate con leche y almendras,Chocolate with milk and almonds,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2287.8,kJ,16.6,g,12,mg
Chocolate con leche y arroz,Chocolate with milk and rice,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2152.9,kJ,16.4,g,11.9,mg
Chocolate negro,Chocolate bitter,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2261.9,kJ,16.9,g,9,mg
Chocolate negro con almendras,Chocolate bitter with almonds,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2228.7,kJ,16.3,g,9.1,mg
Crema pastelera,Custard,,Azúcar chocolate y derivados,Sugar chocolate and related products,,660.908,kJ,2.6,g,120,mg
Crema inglesa,English custard,,Azúcar chocolate y derivados,Sugar chocolate and related products,,515.059,kJ,3.1,g,100,mg
Fructosa,Fructose,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1700,kJ,0,g,0,mg
Miel,Honey,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1314.1,kJ,0,g,0,mg
Gominola genérica,Jelly,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1115,kJ,0.005,g,0,mg
Regaliz,Liquorice,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1352.1,kJ,0.6,g,0,mg
Mermelada de albaricoque,Marmalade apricot,,Azúcar chocolate y derivados,Sugar chocolate and related products,,62.9,kJ,0,mg,NaN,g
Mermelada de albaricoque y melocotón baja en calorías,Marmalade apricot and peach light,,Azúcar chocolate y derivados,Sugar chocolate and related products,,923.1,kJ,0,g,0,mg
Mermelada de mora,Marmalade blackberry,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1006.4,kJ,0,mg,NaN,g
Mermelada de naranja,Marmalade orange,,Azúcar chocolate y derivados,Sugar chocolate and related products,,78.2,kJ,0,mg,NaN,g
Mermelada de ciruela,Marmalade plum,,Azúcar chocolate y derivados,Sugar chocolate and related products,,62.9,kJ,0,g,0,mg
Mermelada de frambuesa,marmalade raspberry,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1054.05,kJ,0.015,g,0,mg
Mermelada de grosella roja,Marmalade red currant,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1006.4,kJ,0,mg,NaN,g
Mermelada de fresa,Marmalade strawberry,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1041.78,kJ,0.03,g,0,mg
Mermelada de fresa baja en calorías,marmalade strawberry light,,Azúcar chocolate y derivados,Sugar chocolate and related products,,923.1,kJ,0,g,0,mg
Chocolate con leche,Milk chocolate,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2241.43,kJ,18.96,g,28,mg
Turrón tipo Alicante,Nougat "alicante" type,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2023.74,kJ,2.2917,g,0,mg
Confitura frutas s/e baja en calorías,Preserve fruit fruit n/e light,,Azúcar chocolate y derivados,Sugar chocolate and related products,,943.5,kJ,0,mg,NaN,g
Jalea real,Royal jelly,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1108.4,kJ,NaN,g,0,mg
Cacao en polvo azucarado,Soluble cocoa with sugar powder,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1625.3,kJ,2.5,g,6,mg
Azúcar moreno,Sugar brown,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1659.2,kJ,0,g,0,mg
Azúcar blanca,Sugar white,,Azúcar chocolate y derivados,Sugar chocolate and related products,,1700,kJ,0,g,0,mg
Chocolate blanco,White chocolate,,Azúcar chocolate y derivados,Sugar chocolate and related products,,2278.9,kJ,18.2,g,23,mg
