es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Aguardiente,Aguardiente,,Bebidas (no lácteas),Beverages (non-milk),,986,kJ,0,g,0,mg
Anís seco,Anisette dry,,Bebidas (no lácteas),Beverages (non-milk),,1104.5,kJ,0,mg,NaN,g
Zumo de manzana,Apple juice,,Bebidas (no lácteas),Beverages (non-milk),,188.7,kJ,0,g,0,mg
Licor apricot,Apricot liqueur,,Bebidas (no lácteas),Beverages (non-milk),,1035.57,kJ,0,g,0,mg
Néctar de albaricoque envasado,Apricot nectar,,Bebidas (no lácteas),Beverages (non-milk),,241.4,kJ,0,mg,NaN,g
Cerveza con alcohol,Beer,,Bebidas (no lácteas),Beverages (non-milk),,176.38,kJ,0,g,0,mg
Cerveza baja en alcohol,Beer low alcohol,,Bebidas (no lácteas),Beverages (non-milk),,140.6,kJ,0,g,0,mg
Cerveza oscura 8°- 9°,Beer stout 8°- 9°,,Bebidas (no lácteas),Beverages (non-milk),,277.921,kJ,0,mg,NaN,g
Licor benedictine,Benedictine liqueur,,Bebidas (no lácteas),Beverages (non-milk),,1083,kJ,0,g,0,mg
Zumo de grosella negra,Black currant juice,,Bebidas (no lácteas),Beverages (non-milk),,142.8,kJ,0,mg,NaN,g
Refresco sabor limón con gas,Carbonated drink lemon,,Bebidas (no lácteas),Beverages (non-milk),,192.714,kJ,0,mg,NaN,g
Zumo de zanahoria fresco,Carrot fresh juice,,Bebidas (no lácteas),Beverages (non-milk),,97.01,kJ,0.027,g,0,mg
Café con leche,Coffee infusion with milk,,Bebidas (no lácteas),Beverages (non-milk),,158.069,kJ,1.2032,g,8,mg
Licor de café,Coffee liqueur,,Bebidas (no lácteas),Beverages (non-milk),,1435.63,kJ,0.1,g,0,mg
Café infusión,Coffee brewed,,Bebidas (no lácteas),Beverages (non-milk),,8.7,kJ,0.092,g,0,mg
Café infusión descafeinado,Coffee brewed decaffeinated,,Bebidas (no lácteas),Beverages (non-milk),,8.7,kJ,0.092,g,0,mg
Café en polvo sin reconstituir,Coffee powder,,Bebidas (no lácteas),Beverages (non-milk),,461.6,kJ,0.12,g,0,mg
Café en grano o molido descafeinado,Coffee seed or powder descaffeinated,,Bebidas (no lácteas),Beverages (non-milk),,1263.4,kJ,5.2,g,0,mg
Café sucedáneo soluble,Coffee substitute instant,,Bebidas (no lácteas),Beverages (non-milk),,1710.2,kJ,0.63,g,0,mg
Coñac,Cognac,,Bebidas (no lácteas),Beverages (non-milk),,971.5,kJ,0,mg,NaN,g
Refresco con gas sabor cola sin cafeina,Cola drink carbonated decaffeinated,,Bebidas (no lácteas),Beverages (non-milk),,182.75,kJ,0,g,0,mg
Refresco con gas sabor cola sin cafeina bajo en calorías,Cola drink light carbonated decaffeinated,,Bebidas (no lácteas),Beverages (non-milk),,0.8,kcal,0,g,0,mg
Licor de crema 15-17% vol.,Cream liqueur 15-17% volume,,Bebidas (no lácteas),Beverages (non-milk),,1348.5,kJ,8,g,0.04,mg
Licor curaçao,Curaçao liqueur,,Bebidas (no lácteas),Beverages (non-milk),,1319.1,kJ,0,g,0,mg
Bebida energética,Energy drink,,Bebidas (no lácteas),Beverages (non-milk),,19.11,kJ,0,g,0,mg
Licores de frutas,Fruits liqueur,,Bebidas (no lácteas),Beverages (non-milk),,944.7,kJ,0,g,0,mg
Ginebra,Gin,,Bebidas (no lácteas),Beverages (non-milk),,916.4,kJ,0,g,0,mg
Zumo de uva y melocotón,Grape and peach juice,,Bebidas (no lácteas),Beverages (non-milk),,214.2,kJ,0.03,g,0,mg
Zumo de uva,Grape juice,,Bebidas (no lácteas),Beverages (non-milk),
Zumo de pomelo envasado,Grapefruit juice,,Bebidas (no lácteas),Beverages (non-milk),,158.1,kJ,0,mg,NaN,g
Néctar de pomelo,Grapefruit nectar,,Bebidas (no lácteas),Beverages (non-milk),,61.2,kJ,0.012,g,0,mg
Infusión,Infusion,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,g,0,mg
Zumo de limón fresco,Lemon juice fresh,,Bebidas (no lácteas),Beverages (non-milk),,71.7,kJ,0,mg,NaN,g
Limonada,Lemonade,,Bebidas (no lácteas),Beverages (non-milk),,48.2,kJ,0.022,g,0,mg
Zumo de lima envasado,Lime juice,,Bebidas (no lácteas),Beverages (non-milk),,64.125,kJ,0,mg,NaN,g
Zumo de mango,Mango juice,,Bebidas (no lácteas),Beverages (non-milk),,175.7,kJ,0,mg,NaN,g
Néctar de mango envasado,Mango nectar,,Bebidas (no lácteas),Beverages (non-milk),,236.3,kJ,0,mg,NaN,g
Néctar de maracuyá envasado,Maracuya nectar,,Bebidas (no lácteas),Beverages (non-milk),,221,kJ,0,mg,NaN,g
Agua mineral mineralización debil,Mineral water,,Bebidas (no lácteas),Beverages (non-milk),,0,kJ,0,g,0,mg
Cerveza sin alcohol,Non-alcoholic beer,,Bebidas (no lácteas),Beverages (non-milk),,107.745,kJ,0,g,0,mg
