es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Pastel de manzana,Apple cake,,Cereales y derivados,Grains and grain products,,1597.7,kJ,8.9,g,60,mg
Bollería genérico,Bakery,,Cereales y derivados,Grains and grain products,,1867.6,kJ,8.35,g,253,mg
Pan de cebada,Barley bread,,Cereales y derivados,Grains and grain products,,827.8,kJ,0.5,g,2,mg
Harina de cebada,Barley flour,,Cereales y derivados,Grains and grain products,,1504.2,kJ,0.34,g,0,mg
Cebada cruda,Barley raw,,Cereales y derivados,Grains and grain products,,1345.9,kJ,0.3,g,0,mg
Galleta barquillo con jalea de frutas,Biscuit fruit jam filled comercial,,Cereales y derivados,Grains and grain products,,1538.4,kJ,1.8,g,20,mg
Pan blanco de molde tostado,Bread sliced toasted,,Cereales y derivados,Grains and grain products,,1037.9,kJ,0.56,g,0,mg
Pan integral de molde tostado,Bread whole wheat sliced toasted,,Cereales y derivados,Grains and grain products,,1044.3,kJ,0.7,g,0,mg
Pan rallado,Breadcrumbs,,Cereales y derivados,Grains and grain products,,1078.69,kJ,0.39,g,0,mg
Cereales desayuno base de maíz y trigo,Breakfast cereal corn and wheat,,Cereales y derivados,Grains and grain products,,1586.6,kJ,1.8,g,0,mg
Cereales desayuno base de maíz y miel,Breakfast cereal corn with honey,,Cereales y derivados,Grains and grain products,,1642.5,kJ,0.7,g,0,mg
Cereales desayuno maíz azucarado,Breakfast cereal corn with sugar,,Cereales y derivados,Grains and grain products,,1591,kJ,0.5,g,0,mg
Cereales desayuno base de maíz trigo y avena,Breakfast cereal corn wheat and oat,,Cereales y derivados,Grains and grain products,,1732.3,kJ,4.6,g,0,mg
Cereales desayuno base muesli,Breakfast cereal granola,,Cereales y derivados,Grains and grain products,,1549,kJ,0.5,g,0.3,mg
Cereales desayuno base de arroz chocolateado,Breakfast cereal rice with chocolate,,Cereales y derivados,Grains and grain products,,1614.9,kJ,1,g,0,mg
Cereales desayuno base de arroz y miel,Breakfast cereal rice with honey,,Cereales y derivados,Grains and grain products,,1602.7,kJ,0.27,g,0,mg
Cereales desayuno base de arroz trigo y fruta,Breakfast cereal rice wheat and fruit,,Cereales y derivados,Grains and grain products,,1482.2,kJ,1.4,g,0,mg
Cereales desayuno base de trigo y frutas,Breakfast cereal wheat and fruit,,Cereales y derivados,Grains and grain products,,1528,kJ,2.5,g,0,mg
Cereales desayuno base de trigo y miel,Breakfast cereal wheat and honey,,Cereales y derivados,Grains and grain products,,1652.1,kJ,0.34,g,0,mg
Cereales desayuno base de trigo y arroz,Breakfast cereal wheat and rice,,Cereales y derivados,Grains and grain products,,1584,kJ,0.3,g,0,mg
Cereales desayuno base de trigo azucarado,Breakfast cereal wheat with sugar,,Cereales y derivados,Grains and grain products,,1602.5,kJ,0.4,g,0,mg
Cereales desayuno base de trigo avena maiz y miel,Breakfast cereal wheat oat corn and honey,,Cereales y derivados,Grains and grain products,,1660.3,kJ,1,g,0,mg
Cereales desayuno base de trigo avena maíz miel y nueces,Breakfast cereal wheat oat corn honey and nuts,,Cereales y derivados,Grains and grain products,,1635.8,kJ,2.4,g,0,mg
Cereales para el desayuno ricos en fibra tipo "all-bran",Breakfast cereal whole wheat "all bran" type,,Cereales y derivados,Grains and grain products,,1113.1,kJ,0.46,g,0,mg
Cereales base trigo y chocolate,Breakfast cereals wheat and chocolate,,Cereales y derivados,Grains and grain products,,1605.5,kJ,1.1,g,0,mg
Pan tipo hamburguesa,Burguer bread,,Cereales y derivados,Grains and grain products,,1109.58,kJ,1,g,0,mg
Galletas de mantequilla,Butter cookie,,Cereales y derivados,Grains and grain products,,2015,kJ,11.2,g,107,mg
Palmera,Butterfly cookies,,Cereales y derivados,Grains and grain products,,2232,kJ,15.24,g,92,mg
Barrita cereales con chocolate,Cereal bar with chocolate,,Cereales y derivados,Grains and grain products,,1653,kJ,3.5,g,0,mg
Barrita cereales maíz y trigo,Cereal bar with corn and wheat,,Cereales y derivados,Grains and grain products,,1797.5,kJ,10.1,g,0,mg
Barrita cereales con frutas,Cereal bar with fruit,,Cereales y derivados,Grains and grain products,,1647,kJ,2,g,0,mg
Barrita cereales trigo y chocolate,Cereal bar with wheat and chocolate,,Cereales y derivados,Grains and grain products,,1820.9,kJ,10.6,g,0,mg
Pastel de chocolate,Chocolate cake,,Cereales y derivados,Grains and grain products,,1832.11,kJ,16.9274,g,147.77,mg
Galleta genérico,Cookie,,Cereales y derivados,Grains and grain products,,2013.68,kJ,10.27,g,50.17,mg
Galleta tipo "Digestiva",Cookie "digestive" type,,Cereales y derivados,Grains and grain products,,1951.75,kJ,8.6,g,41,mg
Galleta tipo "digestiva" con chocolate,Cookie "digestive" type with chocolate,,Cereales y derivados,Grains and grain products,,2137.8,kJ,12.2,g,51,mg
Galleta cubierta de chocolate,Cookie chocolate covered,,Cereales y derivados,Grains and grain products,,2263.9,kJ,16.7,g,22,mg
Galleta salada,Cookie salted,,Cereales y derivados,Grains and grain products,,1706.2,kJ,1.92,g,0,mg
Galletas con chocolate tipo "cookies",Cookie with chocolate,,Cereales y derivados,Grains and grain products,,2046.54,kJ,6.9527,g,88,mg
Pan de maíz,Corn bread,,Cereales y derivados,Grains and grain products,,1310.1,kJ,1.76,g,61,mg
Harina de maíz,Corn flour,,Cereales y derivados,Grains and grain products,,1372.37,kJ,0.351,g,0,mg
Almidón de maíz,Corn starch,,Cereales y derivados,Grains and grain products,,1558.37,kJ,0,mg,NaN,g
Galletas integrales,Crackers,,Cereales y derivados,Grains and grain products,,1683.7,kJ,4.1,g,0,mg
Croissant,Croissant,,Cereales y derivados,Grains and grain products,,1698.9,kJ,9.9,g,50,mg
Croissant de chocolate,Croissant with chocolate,,Cereales y derivados,Grains and grain products,,2002.3,kJ,6.6,g,130,mg
Churro,Cruller,,Cereales y derivados,Grains and grain products,,1498.2,kJ,2.62,g,NaN,mg
Donut,Doughnut,,Cereales y derivados,Grains and grain products,,1646.5,kJ,5.81,g,37,mg
Donut de chocolate,Doughnut with chocolate,,Cereales y derivados,Grains and grain products,,1892,kJ,13.47,g,19,mg
Ensaimada,Ensaimada,,Cereales y derivados,Grains and grain products,,1907.8,kJ,13.35,g,60,mg
Napolitana rellena con crema de cacao,Flaky pastry filled with chocolate cream,,Cereales y derivados,Grains and grain products,,1951,kJ,2.3,g,50,mg
Semilla de lino,Flax seeds,,Cereales y derivados,Grains and grain products,,2361.81,kJ,3.663,g,0,mg
Pastel con fruta confitada,Fruit cake,,Cereales y derivados,Grains and grain products,,1536.7,kJ,8,g,113,mg
Gofio,Gofio,,Cereales y derivados,Grains and grain products,,1662.05,kJ,0.51,g,NaN,mg
Muesli,Granola,,Cereales y derivados,Grains and grain products,,1597,kJ,2.5,g,0,mg
Sémola de trigo hervida,Ground wheat boiled,,Cereales y derivados,Grains and grain products,,228.4,kJ,0,mg,NaN,g
Sémola de trigo cruda,Ground wheat raw,,Cereales y derivados,Grains and grain products,,1456.84,kJ,0.16,g,0,mg
Galletas tipo maria,Maria crackers,,Cereales y derivados,Grains and grain products,,1996.29,kJ,9.7,g,65.9,mg
Pan de leche,Milk bread,,Cereales y derivados,Grains and grain products,,1732.8,kJ,4.4,g,NaN,mg
Mijo,Millet,,Cereales y derivados,Grains and grain products,,1437.37,kJ,0.72,g,0,mg
Miso,Miso,,Cereales y derivados,Grains and grain products,,871.09,kJ,1.139,g,0,mg
Magdalena,Muffin,,Cereales y derivados,Grains and grain products,,1610.8,kJ,12.4,g,203,mg
Pan de avena,Oat bread,,Cereales y derivados,Grains and grain products,,1130.1,kJ,0.7,g,0,mg
Harina de avena,Oat flour,,Cereales y derivados,Grains and grain products,,1472.7,kJ,1.1,g,0,mg
Harina de avena cocida en agua,Oat flour boiled in water,,Cereales y derivados,Grains and grain products,,193.1,kJ,0.16,g,0,mg
Avena cruda,Oat raw,,Cereales y derivados,Grains and grain products,,1669.7,kJ,1.2,g,0,mg
Torta de aceite,Oil cake,,Cereales y derivados,Grains and grain products,,633.5,kJ,0.9,g,0,mg
Pasta alimenticia rellena con carne hervida,Pasta filled with meat boiled,,Cereales y derivados,Grains and grain products,,420.423,kJ,1.3,g,23,mg
Pasta alimenticia cruda,Pasta raw,,Cereales y derivados,Grains and grain products,,1471.37,kJ,0.19,g,0,mg
Pasta alimenticia integral hervida,Pasta whole boiled,,Cereales y derivados,Grains and grain products,,507.6,kJ,0.1,g,0,mg
Pasta alimenticia integral cruda,Pasta whole raw,,Cereales y derivados,Grains and grain products,,1445.7,kJ,0.4,g,0,mg
Pasta alimenticia con huevo hervida,Pasta with egg boiled,,Cereales y derivados,Grains and grain products,,524.424,kJ,0.3,g,8,mg
Pasta alimenticia con huevo cruda,Pasta with egg raw,,Cereales y derivados,Grains and grain products,,1560.53,kJ,0.92,g,30,mg
Pasta alimenticia con vegetales cruda,Pasta with vegetables raw,,Cereales y derivados,Grains and grain products,,1417,kJ,0.5,g,0,mg
Masa de hojaldre cruda,Puff pastry raw,,Cereales y derivados,Grains and grain products,,1706.95,kJ,10.6297,g,41,mg
Arroz hinchado para el desayuno enriquecido,Puffed rice breakfast cereals enriched,,Cereales y derivados,Grains and grain products,,1620.2,kJ,0.14,g,0,mg
Quinoa cruda,Quinoa raw,,Cereales y derivados,Grains and grain products,,1276.47,kJ,0.5,g,0,mg
Arroz,Rice,,Cereales y derivados,Grains and grain products,,1614.3,kJ,0.21,g,0,mg
Almidón de arroz,Rice starch,,Cereales y derivados,Grains and grain products,,1457.92,kJ,0,g,0,mg
Arroz hervido,Rice boiled,,Cereales y derivados,Grains and grain products,,1639.36,kJ,0.13,g,NaN,mg
