es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Tocino,Bacon,,Cárnicos y derivados,Meat and meat products,,2769.8,kJ,29.38,g,57,mg
Panceta frita,Bacon fried,,Cárnicos y derivados,Meat and meat products,,3072.86,kJ,31.5,g,198,mg
Cerdo panceta cruda,Bacon raw,,Cárnicos y derivados,Meat and meat products,,1945.2,kJ,19.39,g,72,mg
Bacon crudo con grasa separable,Bacon raw with separable fat,,Cárnicos y derivados,Meat and meat products,,2276.93,kJ,21.26,g,100,mg
Bacón ahumado a la parrilla,Bacon smoked grilled,,Cárnicos y derivados,Meat and meat products,,1215.5,kJ,8.3,g,80,mg
Corazon de vaca crudo,Beef (cow) heart raw,,Cárnicos y derivados,Meat and meat products,,437,kJ,1.6,g,140,mg
Corazón de vaca/buey cocido,Beef (cow/ox) heart boiled,,Cárnicos y derivados,Meat and meat products,,683.92,kJ,2.3,g,200,mg
Corazón de vaca/buey crudo,Beef (cow/ox) heart raw,,Cárnicos y derivados,Meat and meat products,,435.312,kJ,1.6,g,140,mg
Vaca/buey parte s/e asado,Beef part n/e roasted with separable fat,,Cárnicos y derivados,Meat and meat products,,961.062,kJ,5,g,70,mg
Vaca/buey parte s/e estofado,Beef part n/e stewed with separable fat,,Cárnicos y derivados,Meat and meat products,,818.268,kJ,3.6,g,70,mg
Vaca/buey solomillo a la plancha,Beef sirloin grilled,,Cárnicos y derivados,Meat and meat products,,693.954,kJ,2.6,g,60,mg
Vaca/buey solomillo crudo,Beef sirloin raw,,Cárnicos y derivados,Meat and meat products,,566,kJ,2,g,51,mg
Morcilla,Blood sausage,,Cárnicos y derivados,Meat and meat products,,1351.4,kJ,11.7,g,110,mg
Morcilla frita,Blood sausage fried,,Cárnicos y derivados,Meat and meat products,,1279.16,kJ,8.5,g,68,mg
Mortadela,Bologna,,Cárnicos y derivados,Meat and meat products,,1228.43,kJ,9.4,g,72,mg
Sesos de cordero crudos,Brain lamb raw,,Cárnicos y derivados,Meat and meat products,,565.9,kJ,2100,mg,2.4,g
Sesos de cerdo crudos,Brain pork raw,,Cárnicos y derivados,Meat and meat products,,513.2,kJ,2000,mg,2,g
Sesos de ternera crudos,Brain veal raw,,Cárnicos y derivados,Meat and meat products,,495,kJ,2100,mg,2,g
Pollo empanado frito,Breaded chicken fried,,Cárnicos y derivados,Meat and meat products,,948.91,kJ,2.88,g,84.68,mg
Butifarra,Butifarra sausage,,Cárnicos y derivados,Meat and meat products,,1003.5,kJ,6.8,g,50,mg
