es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Mantequilla salada,Butter with salt,,Grasas y aceites,Fats and oils,,3054.4,kJ,178,mg,55.13,g
Mantequilla baja en calorías,Butter light,,Grasas y aceites,Fats and oils,,2094.8,kJ,34.321,g,106,mg
Grasa de pollo,Chiken fat,,Grasas y aceites,Fats and oils,,3692.6,kJ,29.8,g,85,mg
Aceite de coco,Coconut oil,,Grasas y aceites,Fats and oils,,3700,kJ,84.31,g,0,mg
Aceite de hígado de bacalao,Cod liver oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,21.1,g,650,mg
Margarina de maíz,Corn margarine,,Grasas y aceites,Fats and oils,,2990.6,kJ,13.75,g,0,mg
Aceite de algodón,Cotton oil,,Grasas y aceites,Fats and oils,,3700,kJ,25.9,g,0,mg
Aceite de oliva virgen extra,Extra virgin olive oil,,Grasas y aceites,Fats and oils,,3700,kJ,0,mg,14.21,g
Aceite de oliva virgen extra producción ecologica,Extra virgin olive oil organic,,Grasas y aceites,Fats and oils,,3700,kJ,0,mg
Aceite de lino,Flaxseed oil,,Grasas y aceites,Fats and oils,,3700,kJ,9.4,g,0,mg
Aceite de grano de uva,Grape seed oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,12.2,g,NaN,mg
Margarina baja en calorías,Margarine light,,Grasas y aceites,Fats and oils,,1514.34,kJ,11.29,g,0,mg
Mayonesa baja en calorías,Mayonnaise light,,Grasas y aceites,Fats and oils,,1240.3,kJ,4.19,g,50,mg
Mayonesa con aceite de girasol,Mayonnaise sunflower oil,,Grasas y aceites,Fats and oils,,2917.9,kJ,11.42,g,100,mg
Aceite de oliva,Olive oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,0,mg,17.06,g
Aceite de palma,Palm oil,,Grasas y aceites,Fats and oils,,3700,kJ,0,mg,49.44,g
Aceite de cacahuete,Peanut oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,18.8,g,0,mg
Manteca,Pork lard,,Grasas y aceites,Fats and oils,,3663,kJ,40.6,g,93,mg
Aceite de colza,Rape oil,,Grasas y aceites,Fats and oils,,3700,kJ,0,mg,6.29,g
Aceite de sésamo,Sesame oil,,Grasas y aceites,Fats and oils,,3700,kJ,14.2,g,0,mg
Lecitina de soja,Soy lecithin,,Grasas y aceites,Fats and oils,,2097,kJ,13,g,0,mg
Aceite de soja,Soye oil,,Grasas y aceites,Fats and oils,,3699.63,kJ,0,mg,14.4,g
Aceite de girasol,Sunflower oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,0,mg,10.62,g
Aceite de nuez,Walnut oil,,Grasas y aceites,Fats and oils,,3692.26,kJ,9.3,g,NaN,mg
Aceite de germen de trigo,Wheat germ oil,,Grasas y aceites,Fats and oils,,3696.3,kJ,18.8,g,0,mg
Nata montada,Whipped cream,,Grasas y aceites,Fats and oils,,1268.61,kJ,17.72,g,109,mg
