es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Huevo de gallina hervido duro,Egg chicken cooked hard boiled,,Huevos y derivados,Eggs and egg products,,606.1,kJ,3.1,g,380,mg
Huevo de gallina pasado por agua,Egg chicken whole boiled,,Huevos y derivados,Eggs and egg products,,600.976,kJ,3.1,g,380,mg
Huevo de gallina frito,Egg chicken whole fried,,Huevos y derivados,Eggs and egg products,,772.297,kJ,4.3,g,400,mg
Huevo de gallina escalfado,Egg chicken whole poached,,Huevos y derivados,Eggs and egg products,,611.589,kJ,3.2,g,380,mg
Huevo de gallina fresco,Egg chicken whole raw,,Huevos y derivados,Eggs and egg products,,623.2,kJ,3.1,g,385,mg
Huevo de gallina yema desecada,Egg chicken yolk dried,,Huevos y derivados,Eggs and egg products,,2768.7,kJ,18,g,2430,mg
Huevo de gallina yema cruda,Egg chiken yolk raw,,Huevos y derivados,Eggs and egg products,,1485.1,kJ,9.4,g,1100,mg
Huevo de pato crudo,Egg duck whole raw,,Huevos y derivados,Eggs and egg products,,679.7,kJ,2.9,g,680,mg
Huevo de codorniz entero crudo,Egg quail whole raw,,Huevos y derivados,Eggs and egg products,,640.2,kJ,3.6,g,844,mg
Huevo de gallina revuelto con mantequilla,Egg scrambled with butter,,Huevos y derivados,Eggs and egg products,,953.747,kJ,9.9,g,330,mg
Huevo de pavo entero crudo,Egg turkey whole raw,,Huevos y derivados,Eggs and egg products,,682.5,kJ,3.6,g,933,mg
Huevo de gallina clara cruda,Eggchicken white raw,,Huevos y derivados,Eggs and egg products,,187.3,kJ,0,mg,NaN,g
Tortilla a la francesa,French ommelette,,Huevos y derivados,Eggs and egg products,,709.7,kJ,3.7,g,350,mg
