es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Crema de almendras,Almond cream,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1581.5,kJ,0.9,g,0,mg
Almendra frita salada,Almond fried salted,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2470.1,kJ,4.4232,g,0,mg
Almendra cruda,Almond raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2452.6,kJ,0,mg,4.32,g
Almendra cruda con cáscara,Almond raw in shell,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2453.56,kJ,4.142,g,0,mg
Almendra tostada,Almond toast,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2459.91,kJ,4.047,g,0,mg
Haba seca,Broad bean dried,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1490.3,kJ,0.25,g,0,mg
Haba seca remojada hervida,Broad bean dried steeped boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,243.2,kJ,0.11,g,0,mg
Haba fresca,Broad bean fresh,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,239.2,kJ,0.05,g,0,mg
Haba frita,Broad bean fried,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,239.2,kJ,0.03,g,0,mg
Anacardo crudo,Cashew nut raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2402.9,kJ,0,mg,8.71,g
Castaña cruda,Chestnut,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,746.95,kJ,0,mg,0.42,g
Castaña tostada,Chestnut roasted,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,939,kJ,3.2,g,0,mg
Garbanzo hervido,Chickpea boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1500.6,kJ,0.3,g,0,mg
Garbanzo en conserva,Chickpea canned,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,132.9,kcal,0.31,g,0,mg
Garbanzo seco crudo,Chickpea dried raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1398.47,kJ,0.4275,g,0,mg
Avellana cruda con cáscara,Filbert or hazelnut raw in shell,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2661.85,kJ,4.074,g,0,mg
Judía verde cruda,Green been raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,115.1,kJ,0.09,g,0,mg
Avellana,Hazelnut,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2732.15,kJ,0,mg,4.91,g
Lenteja hervida,Lentil boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1385.5,kJ,0.23,g,NaN,mg
Lenteja en conserva,Lentil canned,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,308.33,kJ,0,mg,NaN,g
Lenteja seca cruda,Lentil dried raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1292.26,kJ,0,mg,0.172121,g
Altramuz,Lupin,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1661.73,kJ,1.156,g,0,mg
Frutos secos,Nuts,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2356.7,kJ,6.899,g,0,mg
Guisantes en conserva,Pea canned,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,278.6,kJ,0.15,g,0,mg
Guisante seco crudo,Pea dried raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,1404.3,kJ,0.77,g,0,mg
Guisante congelado hervido,Pea frozen boiled,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,252.5,kJ,0.2,g,0,mg
Guisante congelado crudo,Pea frozen raw,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,259.9,kJ,0.1,g,0,mg
Crema de cacahuete,Peanut butter,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2508.73,kJ,10.1,g,0,mg
Cacahuete frito salado,Peanut fried salted,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2468.51,kJ,9.5,g,0,mg
Cacahuete crudo con cáscara,Peanut raw in shell,,Legumbres semillas frutos secos y derivados,Pulses seeds nuts and products,,2265.38,kJ,6.75,g,0,mg
