es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Cremoso san millan,"san millan" creamy cheese,,Lácteos y derivados,Milk and milk products,,1089.9,kJ,14.3,g,65,mg
Leche de almendra,Almond milk,,Lácteos y derivados,Milk and milk products,,1470,kJ,0.43,g,0,mg
Queso azul,Blue cheese,,Lácteos y derivados,Milk and milk products,,1461.81,kJ,17.55,g,88,mg
Queso brie,Brie cheese,,Lácteos y derivados,Milk and milk products,,1428.3,kJ,19.35,g,80,mg
Queso cabrales,Cabrales cheese,,Lácteos y derivados,Milk and milk products,,1571.7,kJ,19.38,g,90,mg
Queso Camembert 20-30% MG/ES,Camembert cheese 20-30% fidm,,Lácteos y derivados,Milk and milk products,,835.71,kJ,7,g,30,mg
Queso camembert 60% mg/es,Camembert cheese 60% fidm,,Lácteos y derivados,Milk and milk products,,1458.15,kJ,20.7,g,100,mg
Crema catalana,Catalan creme,,Lácteos y derivados,Milk and milk products,,433.36,kJ,1.89,g,10,mg
Queso Cheddar,Cheddar cheese,,Lácteos y derivados,Milk and milk products,,1686.82,kJ,21.3,g,110,mg
Queso de bola,Cheese,,Lácteos y derivados,Milk and milk products,,1399,kJ,17.3,g,80,mg
Queso manchego,Cheese "manchego" type,,Lácteos y derivados,Milk and milk products,,1622.39,kJ,18.9,g,87.8,mg
Queso para untar natural bajo en calorías,Cheese spread plain light,,Lácteos y derivados,Milk and milk products,,590.3,kJ,7.6,g,37.6,mg
Queso para untar con salmón,Cheese spread with salmon,,Lácteos y derivados,Milk and milk products,,1075.9,kJ,14.3,g,3.1,mg
Queso para untar con finas hierbas,Cheese spread with spice and herbs,,Lácteos y derivados,Milk and milk products,,1047.5,kJ,14.3,g,65,mg
Queso afuega'l pitu,Cheese "afuega'l pitu" type,,Lácteos y derivados,Milk and milk products,,1955.98,kJ,100,mg
Queso ahumado de aliva,Cheese "ahumado de aliva" type,,Lácteos y derivados,Milk and milk products,,1699.2,kJ,100,mg
Queso de aracena,Cheese "aracena" type,,Lácteos y derivados,Milk and milk products,,1625.18,kJ,100,mg
Queso de arzúa,Cheese "arzúa" type,,Lácteos y derivados,Milk and milk products,,1654.07,kJ,17.98,g,90,mg
Queso de cádiz,Cheese "cádiz" type,,Lácteos y derivados,Milk and milk products,,1282.37,kJ,100,mg
Queso cantabria,Cheese "cantabria" type,,Lácteos y derivados,Milk and milk products,,1483.04,kJ,100,mg
Queso casín,Cheese "casin" type,,Lácteos y derivados,Milk and milk products,,1531.99,kJ,100,mg
Queso Castellano,Cheese "castellano" type,,Lácteos y derivados,Milk and milk products,,1913.43,kJ,26.45,g,100,mg
Queso cebreiro,Cheese "cebreiro" type,,Lácteos y derivados,Milk and milk products,,1075.87,kJ,85,mg
Queso flor de guía,Cheese "flor de guía" type,,Lácteos y derivados,Milk and milk products,,1611.79,kJ,90,mg
Queso gata-hurdes,Cheese "gata-hurdes" type,,Lácteos y derivados,Milk and milk products,,1604.03,kJ,100,mg
Queso gaztazarra,Cheese "gaztazarra" type,,Lácteos y derivados,Milk and milk products,,1367.98,kJ,90,mg
Queso grazalema,Cheese "grazalema" type,,Lácteos y derivados,Milk and milk products,,1567.6,kJ,90,mg
Queso herreño,Cheese "herreño" type,,Lácteos y derivados,Milk and milk products,,1528.61,kJ,100,mg
Queso Ibores,Cheese "ibores" type,,Lácteos y derivados,Milk and milk products,,1676.62,kJ,25.31,g,90,mg
Queso Mahón,Cheese "mahón" type,,Lácteos y derivados,Milk and milk products,,1692.77,kJ,20.02,g,90,mg
Queso majorero,Cheese "majorero" type,,Lácteos y derivados,Milk and milk products,,1499.97,kJ,16.94,g,80,mg
Queso manchego en aceite,Cheese "manchego" type in oil,,Lácteos y derivados,Milk and milk products,,1947.33,kJ,24.48,g,90,mg
