es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Vinagre de manzana,Apple vinegar,,Miscelánea,Miscellaneous foods,,17,kJ,0,g,0,mg
Vinagre balsámico,Balsamic vinegar,,Miscelánea,Miscellaneous foods,,297.84,kJ,0,g,0,mg
Salsa barbacoa,barbecue sauce,,Miscelánea,Miscellaneous foods,,739.97,kJ,0.3,g,0,mg
Laurel hoja,bay leaf,,Miscelánea,Miscellaneous foods,,1266.2,kJ,2.28,g,0,mg
Fabada,Bean stew "fabada" type,,Miscelánea,Miscellaneous foods,,657.5,kJ,3.095,g,20,mg
Salsa bechamel,bechamel sauce,,Miscelánea,Miscellaneous foods,,634.4,kJ,4.4,g,26,mg
Pimienta negra,Black pepper,,Miscelánea,Miscellaneous foods,,230,kcal,0.98,g,0,mg
Salsa boloñesa,Bolognese sauce,,Miscelánea,Miscellaneous foods,,604.5,kJ,3.1,g,25,mg
San jacobo congelado,Breadcrumbed fried loin ham and cheese,,Miscelánea,Miscellaneous foods,,991.68,kJ,2.484,g,31,mg
Canelones,Canneloni,,Miscelánea,Miscellaneous foods,,799.3,kJ,4,g,40,mg
Flan de huevo bajo en calorías,Caramel custard cream diet,,Miscelánea,Miscellaneous foods,,320,kJ,1.6,g,117.6,mg
Salsa carbonara,Carbonara sauce,,Miscelánea,Miscellaneous foods,,1269.1,kJ,17.574,g,96.8,mg
Salsa de queso,cheese sauce,,Miscelánea,Miscellaneous foods,,458.6,kJ,2.568,g,29,mg
Guindilla picante,Chili or hot pepper,,Miscelánea,Miscellaneous foods,,186.39,kJ,0.105,g,0,mg
Guindilla en polvo,Chili or hotpepper powder,,Miscelánea,Miscellaneous foods,,1271.26,kJ,2.462,g,0,mg
Chile verde,Chili pepper green,,Miscelánea,Miscellaneous foods,,68.9,kJ,0.1,g,0,mg
Chile rojo,Chili pepper red,,Miscelánea,Miscellaneous foods,,140.6,kJ,0.1,g,0,mg
Rollito de primavera,Chinese spring roll,,Miscelánea,Miscellaneous foods,,1046.47,kJ,2.116,g,16,mg
Patatas fritas chips,Chips,,Miscelánea,Miscellaneous foods,,2243.3,kJ,7.7,g,0,mg
Crema de chocolate y nata,Chocolate and cream pudding,,Miscelánea,Miscellaneous foods,,360.4,kJ,2.6,g,7,mg
Crema de chocolate baja en calorías,Chocolate cream low calorie,,Miscelánea,Miscellaneous foods,,313.2,kJ,0.5,g,1.4,mg
Canela en polvo,Cinnamon powder,,Miscelánea,Miscellaneous foods,,1554.73,kJ,0.65,g,0,mg
Crema de coco,Coconut cream,,Miscelánea,Miscellaneous foods,,518.9,kJ,2.1,g,11,mg
Gazpacho,Cold vegetal soup gazpacho,,Miscelánea,Miscellaneous foods,,141,kJ,0.47,g,0,mg
Galletas saladas con queso,Cookies salted with cheese,,Miscelánea,Miscellaneous foods,,2006.74,kJ,8.8,g,30,mg
Fritos de maíz,Corn chips,,Miscelánea,Miscellaneous foods,,2359.67,kJ,16.6,g,0,mg
Comino,Cumin,,Miscelánea,Miscellaneous foods,,1747.8,kJ,NaN,g,NaN,mg
Curry,Curry,,Miscelánea,Miscellaneous foods,,1830,kJ,2.8,g,0,mg
Salsa al curry,Curry sauce,,Miscelánea,Miscellaneous foods,,325.93,kJ,1.3,g,0,mg
Eneldo seco,Dill dried,,Miscelánea,Miscellaneous foods,,1218.5,kJ,NaN,g,NaN,mg
Hinojo,Fennel,,Miscelánea,Miscellaneous foods,,14,kcal,0,mg,NaN,g
Alioli,Garlic mayonnaise oil unspecified,,Miscelánea,Miscellaneous foods,,3271.03,kJ,12.61,g,0,mg
Ajo en polvo,Garlic powder,,Miscelánea,Miscellaneous foods,,1544.77,kJ,0.249,g,0,mg
Jengibre,Ginger,,Miscelánea,Miscellaneous foods,,216.3,kJ,NaN,g,NaN,mg
Gomasio,Gomasio,,Miscelánea,Miscellaneous foods,,370.69,kJ,1.25,g,0,mg
Sopa de sobre maravilla,Instant soup with pasta "maravilla" type,,Miscelánea,Miscellaneous foods,,1388.42,kJ,1.29,g,74,mg
Sopa de sobre sin reconstituir,Instant soup dried,,Miscelánea,Miscellaneous foods,,1337.49,kJ,1.74,g,74,mg
Sal yodada,Iodized salt,,Miscelánea,Miscellaneous foods,,0,kJ,0,g,0,mg
Gelatina,Jelly,,Miscelánea,Miscellaneous foods,,1434.8,kJ,0,g,0,mg
Kebab,Kebab,,Miscelánea,Miscellaneous foods,,1270.03,kJ,2.9,g
Ketchup,Ketchup,,Miscelánea,Miscellaneous foods,,434.1,kJ,0.04,g,0,mg
Lasaña,Lasagne,,Miscelánea,Miscellaneous foods,,574.5,kJ,3.17,g,21,mg
Sofrito,Lightly-fried vegatables,,Miscelánea,Miscellaneous foods,,874.83,kJ,3.03,g,0,mg
Mayonesa aceite de oliva,Mayonnaise olive oil home-prepared,,Miscelánea,Miscellaneous foods,,3270.44,kJ,12.8,g,150,mg
Mayonesa aceite de soja,Mayonnaise soybean oil,,Miscelánea,Miscellaneous foods,,2957.12,kJ,11.6,g,150,mg
Empanada de carne,Meat pasty,,Miscelánea,Miscellaneous foods,,1246.71,kJ,4.81,g,91,mg
Albondigas en conserva,Meatball canned,,Miscelánea,Miscellaneous foods,,590.84,kJ,2.828,g,90,mg
Menta fresca,Mint fresh,,Miscelánea,Miscellaneous foods,,181.71,kJ,0.19,g,0,mg
Mostaza,Mustard,,Miscelánea,Miscellaneous foods,,555.3,kJ,1.3,g,0,mg
Salsa napolitana,Napolitana sauce,,Miscelánea,Miscellaneous foods,,316.7,kJ,0.47,g,0,mg
Nuez moscada,Nutmeg,,Miscelánea,Miscellaneous foods,,2279.63,kJ,25.9,g,0,mg
Orégano seco,oregano dried,,Miscelánea,Miscellaneous foods,,1739.74,kJ,2.7,g,0,mg
Paella,Paella,,Miscelánea,Miscellaneous foods,,719.15,kJ,1.1,g,44.81,mg
Pimentón en polvo,paprika powder,,Miscelánea,Miscellaneous foods,,1378.6,kJ,2.14,g,0,mg
Perejil fresco,parsley fresh,,Miscelánea,Miscellaneous foods,,145,kJ,0,mg,NaN,g
Empanadilla,Pasty frozen n/e,,Miscelánea,Miscellaneous foods,,1031.61,kJ,4.361,g,48,mg
Pizza precocinada,Pizza precooked,,Miscelánea,Miscellaneous foods,,879.4,kJ,4.12,g,16,mg
Palomitas de maíz sin aceite sin sal,Pop corn without oil without salt,,Miscelánea,Miscellaneous foods,,1428.7,kJ,0.6,g,0,mg
Flamenquín,Pork loin cheese and ham roll breaded fried "flamenquin" type,,Miscelánea,Miscellaneous foods,,961.01,kJ,2.95,g,69.3,mg
Patatas chips "lights",Potato crips low calorie,,Miscelánea,Miscellaneous foods,,1913.78,kJ,6.34039,g,0,mg
Suplemento proteico,Protein supplement,,Miscelánea,Miscellaneous foods,,1639.75,kJ,0.871,g,0,mg
Hojaldre,Puff pastry,,Miscelánea,Miscellaneous foods,,2301.7,kJ,5.5,g,1,mg
Pudding de pasas,Raisin pudding,,Miscelánea,Miscellaneous foods,,1239.5,kJ,4.5,g,45,mg
Salsa al roquefort,Roquefort sauce,,Miscelánea,Miscellaneous foods,,1883.25,kJ,12.772,g,38,mg
Romero,Rosemary,,Miscelánea,Miscellaneous foods,,1436.2,kJ,7.37,g,NaN,mg
