es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Bonito en aceite vegetal,Albacore in vegetable oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,831.375,kJ,1.8,g,46.7,mg
Bonito enlatado en aceite escurrido,Albacore canned in oil drained,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,851.708,kJ,1.13,g,46.7,mg
Bonito del norte enlatado en aceite de soja,Albacore canned soybean oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,858.2,kJ,1.8,g,33,mg
Bonito del norte al vapor,Albacore steamed,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,683.9,kJ,1.2,g,54,mg
Boquerón,Anchovy,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,532.3,kJ,1.65,g,69,mg
Anchoas en aceite vegetal,Anchovy in vegetable oil,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,850.4,kJ,2.203,g,85,mg
Boquerón frito,Anchovy fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,572.03,kJ,2.3,g,69,mg
Sargo crudo,Annular seabream raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,417.8,kJ,0.57,g,70,mg
Chirla,Baby clam,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,47,kcal,0.05,g,40,mg
Chipiron,Baby squid,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,339.95,kJ,0.408,g,167.5,mg
Almejas en conserva,Canned clams,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,336.61,kJ,0.1,g,41,mg
Carpa al horno,Carp baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,621.657,kJ,1.2,g,75,mg
Carpa cruda,Carp raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,484.9,kJ,1.14,g,66,mg
Caviar,Caviar,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1148.5,kJ,4.06,g,588,mg
Almeja,Clams,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,200.4,kJ,40,mg,0.34,g
Bogavante,Clawed lobster,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,385.1,kJ,0.24,g,150,mg
Berberechos,Cockles,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,200.4,kJ,0.05,g,40,mg
Berberechos en conserva,Cockles canned,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,200.4,kJ,0.05,g,40,mg
Bacalao fresco al horno,Cod fresh baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,414.814,kJ,0.2,g,58,mg
Bacalao crudo,Cod raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,346.4,kJ,0.17,g,61,mg
Bacalao salado crudo,Cod salted raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,1339.75,kJ,0.71,g,50,mg
Bacalao salado remojado crudo,Cod salted steeped raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,456.8,kJ,0.1,g,50,mg
Bacalao ahumado,Cod smoked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,331.45,kJ,0.1,g,56,mg
Bacalao frito,Codfish fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,314.39,kJ,0.1,g,46,mg
Congrio,Conger,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,426.6,kJ,0.55,g,40,mg
Cangrejo,Crab,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,124,kcal,0.69,g,100,mg
Centollo crudo,Crab raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,534.1,kJ,0.79,g,100,mg
Cangrejo de río crudo,Crayfish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,520.2,kJ,0.77,g,100,mg
Cangrejo en conserva,Crayfish canned,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,411.629,kJ,0.2,g,100,mg
Sepia,Cuttlefish,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,336.2,kJ,0.24,g,152,mg
Palometa cruda,Derbio frozen raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,525,kJ,79,mg,0.79,g
Lija cruda,Dogfish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,565,kJ,1.2,g,63,mg
Angula cruda,Elver raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,887.6,kJ,2.8,g,50,mg
Anguila hervida,Europan eel boiled,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,821.279,kJ,3.3,g,140,mg
Anguila al horno,European eel baked,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,929.121,kJ,3.6,g,160,mg
Anguila cruda,European eel raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,913.915,kJ,150,mg,3.99683,g
Pescado genérico,Fish,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,400.9,kJ,3.69,g,53.6,mg
Volador crudo,Flying fish raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,368.1,kJ
Gallo,Fourspotted megrim,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,338.9,kJ,0.33,g,62.2,mg
Dorada plancha,Gilt-head bream griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,388.9,kJ,0.5,g,42,mg
Dorada cruda,Gilt-head bream raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,326,kJ,67,mg,1.49,g
Mero plancha,Grouper griddle,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,611.28,kJ,1.38,g,41.78,mg
Mero crudo,Grouper raw,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,366.8,kJ,0.23,g,37,mg
Merluza rebozada frita,Hake coat in batter deep fried,,Pescados moluscos reptiles crustáceos y derivados,Fish molluscs reptiles crustaceans and products,,621.62,kJ,1.51,g,78.83,mg
