es,en,ca,familia_es,familia_en,familia_ca,kcal_value,kcal_unit,fat_satured_value,fat_satured_unit,colesterol_value,colesterol_unit
Alcachofas en conserva,Artichoke canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,75.62,kJ,0.037,g,0,mg
Alcachofa cruda,Artichoke frozen raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,95.12,kJ,0,mg,NaN,g
Rúcula,Arugula,,Verduras hortalizas y derivados,Vegetables and vegetable products,,130.33,kJ,0.086,g,0,mg
Espárrago verde,Asparagus green,,Verduras hortalizas y derivados,Vegetables and vegetable products,,105.5,kJ,0.1,g,0,mg
Esparragos blancos en conserva,Asparagus white canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,101.2,kJ,0.07,g,0,mg
Berenjena,Aubergine,,Verduras hortalizas y derivados,Vegetables and vegetable products,,83.9,kJ,0,mg,NaN,g
Berenjena frita en aceite de girasol,Aubergine fried in sunflowerseed oil,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1246.84,kJ,3.7,g,0,mg
Bambú crudo,Bamboo raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,143.7,kJ,0.069,g,0,mg
Albahaca,Basil,,Verduras hortalizas y derivados,Vegetables and vegetable products,,740.56,kJ,0.24,g,0,mg
Remolacha en conserva,beetroot canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,123,kJ,0,mg,NaN,g
Borraja,Borage,,Verduras hortalizas y derivados,Vegetables and vegetable products,,108.52,kJ,0.17,g,0,mg
Brécol hervido,Broccoli boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,101,kJ,0.2,g,0,mg
Brécol crudo,Broccoli raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,106.6,kJ,0.07,g,0,mg
Col de bruselas cruda,Brussels sprout frozen,,Verduras hortalizas y derivados,Vegetables and vegetable products,,146,kJ,0.1,g,0,mg
Repollo,Cabbage,,Verduras hortalizas y derivados,Vegetables and vegetable products,,108.3,kJ,0.1,g,0,mg
Col blanca cruda,Cabbage white raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,149.58,kJ,0.105,g,0,mg
Alcaparra,Caper,,Verduras hortalizas y derivados,Vegetables and vegetable products,,107.64,kJ,0.233,g,0,mg
Cardo,Cardoon,,Verduras hortalizas y derivados,Vegetables and vegetable products,,90.7,kJ,0,mg,NaN,g
Cardo tallo en conserva,Cardoon stalk canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,57.79,kJ,0.012,g,0,mg
Zanahoria cruda,Carrot raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,143.7,kJ,0.05,g,0,mg
Coliflor hervida,Cauliflower boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,113.79,kJ,0.2,g,0,mg
Coliflor congelada cruda,Cauliflower frozen raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,76.175,kJ,0,mg,NaN,g
Apio en conserva en salmuera,Celery canned in brine,,Verduras hortalizas y derivados,Vegetables and vegetable products,,35.7,kJ,0,mg,NaN,g
Apio crudo,Celery raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,44.5,kJ,0,mg,NaN,g
Acelgas hervidas,Chard boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,121.02,kJ,0.03,g,0,mg
Acelga cruda,Chard raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,89,kJ,0,mg,NaN,g
Achicoria cruda,Chicory raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,78.3,kJ,0.2,g,0,mg
Cebollino crudo,Chive raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,102.725,kJ,0.12,g,0,mg
Maíz en mazorca congelado crudo,Corn on the cob frozen raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,395.1,kJ,0.1,g,0,mg
Maíz en mazorca crudo,Corn on the cob raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1632.04,kJ,0.13,g,0,mg
Calabacín,Courgette,,Verduras hortalizas y derivados,Vegetables and vegetable products,,72,kJ,0.04,g,0,mg
Calabacín asado,Courgette roasted,,Verduras hortalizas y derivados,Vegetables and vegetable products,,74.27,kJ,0.1,g,0,mg
Pepino,Cucumber,,Verduras hortalizas y derivados,Vegetables and vegetable products,,49.6,kJ,0,mg,NaN,g
Endibia,Endive,,Verduras hortalizas y derivados,Vegetables and vegetable products,,38,kJ,0.04,g,0,mg
Escarola,Escarole,,Verduras hortalizas y derivados,Vegetables and vegetable products,,51.6,kJ,0.05,g,0,mg
Ajo,Garlic,,Verduras hortalizas y derivados,Vegetables and vegetable products,,488.547,kJ,0.05,g,0,mg
Ajo frito,Garlic fried,,Verduras hortalizas y derivados,Vegetables and vegetable products,,424.22,kJ,0.1,g,0,mg
Judia verde hervida,Green bean boiled,,Verduras hortalizas y derivados,Vegetables and vegetable products,,348.47,kJ,0.86,g,0,mg
Judias verdes en conserva,Green bean canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,51.606,kJ,0.023,g,0,mg
Judía verde congelada cruda,Green bean frozen raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,121.925,kJ,0.165,g,0,mg
Canonigos,Lamb's lettuce,,Verduras hortalizas y derivados,Vegetables and vegetable products,,57.3,kJ,NaN,g,0,mg
Puerro en conserva,Leek canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,
Puerro crudo y congelado,Leek raw frozen,,Verduras hortalizas y derivados,Vegetables and vegetable products,,101.2,kJ,0,mg,NaN,g
Lechuga,Lettuce,,Verduras hortalizas y derivados,Vegetables and vegetable products,,65.125,kJ,0.12,g,0,mg
Lombarda,Lombard,,Verduras hortalizas y derivados,Vegetables and vegetable products,,92.7,kJ,0.036,g,0,mg
Puré de patata y queso en copos,Mashed potato and cheese flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1925.1,kJ,0.461,g,0,mg
Puré de patata con leche,Mashed potato with milk flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,395.175,kJ,1.9,g,11,mg
Puré de patata con verduras en copos,Mashed potato with vegetables flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1506.1,kJ,0,mg,NaN,g
Puré de patata en copos,mashed potato flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1506.05,kJ,0.15,g,0,mg
Puré de patatas y champiñones en copos,Mashed potatoes and mushrooms flakes,,Verduras hortalizas y derivados,Vegetables and vegetable products,,1620,kJ,0,mg,NaN,g
Níscalo crudo,Milk cap raw,,Verduras hortalizas y derivados,Vegetables and vegetable products,,58.62,kJ,0.14,g,0,mg
Seta,Mushroom,,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.7,kJ,0.07,g,0,mg
Champiñon,Mushroom (champignon),,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.7,kJ,0.07,g,0,mg
Seta plancha,Mushroom griddle,,Verduras hortalizas y derivados,Vegetables and vegetable products,,54.68,kJ,0.1,g,0,mg
Champiñones en conserva,Mushrooms canned,,Verduras hortalizas y derivados,Vegetables and vegetable products,,57.94,kJ,0.12,g,0,mg
Cebolla,Onion,,Verduras hortalizas y derivados,Vegetables and vegetable products,,109.225,kJ,0,mg,NaN,g
